id,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct
44,Mining Engineering,Mine Machinery,2,The limiting gradient for the SDL is?,18 deg,15 deg,10 deg,6 deg,0
45,Mining Engineering,Mine Machinery,2,The number of strokes per min in jack hammer is?,1500,2200,2800,3500,1
46,Mining Engineering,U/g Mines Ventilation,2,Compressed air jets increased the air flow by ?,10 %,20 %,30 %,40 %,1
47,Mining Engineering,Mine Machinery,2,The appropriate function of inter cooled in large multi stage compressor is?,To call the LP air,To reduce power consumption,To drain moisture,All the above,3
48,Mining Engineering,Mine Legislation,2,No adult employed below ground in a mine shall be allowed to work for more than ....hours in any week or for more than .. hours in any day?,36 ; 6,48 ; 9,48 ;8,50 ;10,2
49,Mining Engineering,U/g Mines Ventilation,2,The thickness and height of the temparory dam ?,0.5 m ; 1 m,1 m ;1 m,1 m ; 3m,1 m ;2 m,0
50,Mining Engineering,Open Cast Mining,2,If hydraulic sand stowing of the goaf is adopted and the face is along the strike it should be slightly oriented at......to provide drainage of water?,1 in 120,1 in 150,1 in 175,1 in 100,3
51,Mining Engineering,Open Cast Mining,2,Single tube core barrel is suitable for recovering core from rocks of ?,soft,friable,homogeneous,hard,2
52,Mining Engineering,Open Cast Mining,2,If the pillars are not strong they may be crushed due to sudden pressure is called?,premature collapse,normal collapse,local fall,overriding of pillars,3
53,Mining Engineering,Mine Machinery,2,In Exhaust conditioner the gases are mixed with about...times thier volume of fresh ait before being exhausted into ventilating current?,20 to 30,30 to 40,40 to 50,70 to 80,1
54,Mining Engineering,U/g Mines Ventilation,2,Out of 21 % of oxygen in the atmosphere air that is inhaled by a person % of oxygen that is used from between inhalation and exhalation is?,1 - 2 %,2 - 3 %,3 -5 %,5 -7 %,2
55,Mining Engineering,Open Cast Mining,2,The VOD of LOX?,5000 m/s,3500 m/s,7000 m/s,6000 m/s,0
56,Mining Engineering,Mine Legislation,3,The owner;agent or manager shall constitute a 'safety committee' for promoting safety in the mine for more than .....persons are ordinarly employed in every mine?,500,1000,50,100,3
57,Mining Engineering,Mine Machinery,3,The daily progress with the continuous miner is?,10 to 20 m,20 to 40 m,40 to 60 m,70 m,1
58,Mining Engineering,Mine Legislation,3,Accident frequency rate is calculated in terms of .........persons employed?,100,1000,10000,100000,1
59,Mining Engineering,Mine Legislation,3,Where the gradient is less than 1 in 6 manholes may be provided at intervals of not more than atleast.....?,10 m,20 m,30 m,40 m,1
60,Mining Engineering,U/g Mines Ventilation,3,The interval between levels depending on several points vary from?,5 to 10m,10 to 15 m,15 to 100 m,100 to 120 m,2
61,Mining Engineering,Open Cast Mining,3,Which is the modification of the dipper shovel with a long boom and is used for casting fragmented rock or earth into a dump of OB?,BWE,Tractor shovel,Hydraulic shovel,Stripper shovel,3
62,Mining Engineering,Open Cast Mining,3,The width of the headings in bord and pillar method of working depends on?,depth of working,size of the pillars,face machinary used,ventilation required,2
63,Mining Engineering,U/g Mines Ventilation,3,The speed of the centrifugal fan is?,1 to 100 rpm,100 to 300 rpm,300 to 1000 rpm,above 1000 rpm,1
64,Mining Engineering,U/g Mines Ventilation,3,Ignition temparature of methane is?,250 - 350 deg c,350 - 650 deg c,650 - 750 deg c,750 - 1000 deg c,2
65,Mining Engineering,U/g Mines Ventilation,3,Which can be found by blotting paper soaked in lead acetate changes its color to black?,SO2,H2,H2S,CH4,2
66,Mining Engineering,U/g Mines Ventilation,3,By varying the pitch of the blades the pressure generated by axial flow fan is?,remains same,decreases,increases,increases 8 times,0
67,Mining Engineering,Open Cast Mining,3,The cut holes are called?,easers,trimmers,sumpers,none,2
68,Mining Engineering,Mine Machinery,3,The size of the ballast used in rail track is?,30 to 40 mm,40 to 50 mm,50 to 60 mm,60 to 80 mm,2
69,Mining Engineering,U/g Mines Ventilation,3,In bord and pillar method of mining the stonedust barriers are places .....m from the face?,50 - 100,100 - 150,150 - 400,400 - 500,2
70,Mining Engineering,Mine Legislation,3,The periods of work of any adult shall be so arranged that ;along with his interval of rest they shall not in any day spread over more than....?,12 hours,24 hours,36 hours,10 hours,0
71,Mining Engineering,Mine Machinery,3,In electrical locomotive the battery consist....of the toal weight?,30 %,40 %,50 %,60 %,3
72,Mining Engineering,Mine Legislation,3,The spot levels in the plans shall at points not more than ....apart?,100 m,150m,200 m,300 m,1
73,Mining Engineering,Open Cast Mining,3,The output of the shovel with 4.5 cu.m bucket is.......cu.m per year?,2.5 lac,4 lac,5.5 lac,7 lac,2
74,Mining Engineering,Mine Legislation,3,Workman's inspector comes by?,Election,Deputation,Selection,Nomination,3
75,Mining Engineering,Mine Legislation,3,During the vocational training period each trainee is to be paied an allowance of Rs....per day?,1,1.5,2,2.5,1
76,Mining Engineering,U/g Mines Ventilation,3,For breaking up the methane layer formed in the roof the minimum layering number required is?,4,3,2,1,2
77,Mining Engineering,Mine Machinery,3,The capacity of the A.C.C is?,100 tph,200 tph,300 tph,50 tph,0
78,Mining Engineering,Open Cast Mining,3,Where sand stowing is adopted for stowing the goaf the maximum distance between the packed goaf edge adn the face is restricted generally....m for proper roof control?,3m,5m,6m,8m,2
79,Mining Engineering,Mine Legislation,3,No meterial shall be placed or dumped within atleast..... from either side of the track of rails?,1.2 m,1.5 m,2.5 m,3 m,0
80,Mining Engineering,U/g Mines Ventilation,3,The reducing valve in protomark SCBA reduces the pressure of O2 supplied to wearer is ?,1 lit/min,1.5 lit/min,2 lit/min,4 lit/min,2
81,Mining Engineering,Mine Machinery,3,The wire ropes required to be used in wet shafts are?,NOnrusting type,Galvanised,Bronze,Stainless steel,1
82,Mining Engineering,Mine Machinery,3,Loop take up arrangements accomodate extension upto?,5 m,9 m,20 m,15 m,1
83,Mining Engineering,Open Cast Mining,3,Archean rocks are also known as?,Metamorphic rocks,Sedimentary rocks,Igneous rocks,none,2
84,Mining Engineering,U/g Mines Ventilation,3,During the process of seaing fire area below ground the atmosphere near the stoing should be tested frequently for ?,Methane,CO,O2 deficiency,Both CO and O2,3
85,Mining Engineering,Mine Machinery,3,The inbye conveyor cannot be started unless the outbye recieving conveyor is attained ....of its normal speed?,40 to 50 %,50 to 60 %,60 to 70 %,70 to 80 %,2
86,Mining Engineering,U/g Mines Ventilation,3,The permissible limit of the SO2 is ?,10 ppm,50 ppm,7 ppm,5 ppm,0
87,Mining Engineering,U/g Mines Ventilation,3,A rescue brigade contains .....members?,10,7,5 -6,3-4,2
88,Mining Engineering,U/g Mines Ventilation,3,Spantaneous heating is more likely to occur in coals of?,Peat,Lignite,Bituminous,Antracite,3
89,Mining Engineering,U/g Mines Ventilation,3,Cooling power is a combination of temparature of air ;relative humidity and ...?,Moisture content of air,density of air,velocity of air,Pressure,2
90,Mining Engineering,Mine Legislation,3,The over time wages are ....of ordinary wage rate?,equal,twice,thrice,half,1
91,Mining Engineering,U/g Mines Ventilation,3,In triggered barrier ...... is used ?,Nitrogen,Ammonia,NaCl,Brine,0
92,Mining Engineering,U/g Mines Ventilation,3,The relative amount of luminous energy given by any source of light is?,illumination,lux,intensity of light,lumen,2
93,Mining Engineering,U/g Mines Ventilation,3,"with a axial fan direction of travel of air current to the mine is changed by?, changing direction flow of air into fan by means of doors,changing the blades",1 to 5 deg,5 to 10 deg,10 to 15 deg,15 to 20 deg,2
94,Mining Engineering,U/g Mines Ventilation,3,The unit for the kata factor is ?,millicolories/sq.cm/sec,kcal/sec/sq.cm,millicolories/sq.cm,millicolories/sec/sq.c m,2
95,Mining Engineering,Mine Legislation,3,punishment as suspension without pay should not exceed...days?,10,5,15,20,0
96,Mining Engineering,Open Cast Mining,4,The method of sinking in unstable or friable strata with heavy inrush of water?,tubbing,forced drop,cementation method,freezing method,3
97,Mining Engineering,Open Cast Mining,4,The upper portion of the sand stowing pipe is generally changed after the transport of ....lac ton of sand?,1 - 2,2 - 4,4 - 6,6 - 8,1
98,Mining Engineering,Mine Legislation,4,No workmen shall declare a lockout during the pendency of the proceedings before a labour court;tribunal and before......after the concillation of such proceedings?,7 days,2 months,3 months,6 weeks,1
99,Mining Engineering,U/g Mines Ventilation,4,The sensitivity of Inclined guage manometer is?,0.2 pa,0.4 pa,1 pa,2 pa,1
100,Mining Engineering,Mine Legislation,4,No brick dam shall be less than atleast....in thick?,1.8 m,1.5 m,2 m,2.5 m,0
101,Mining Engineering,Mine Machinery,4,Rods are dipped in diluted H2SO4 or HCL to remove scales is called?,Patenting,Forging,Pickling,Normalising,2
102,Mining Engineering,U/g Mines Ventilation,4,Open stope method is used for ore of?,High grade,Low grade,Weak,Strong,1
103,Mining Engineering,Mine Machinery,4,The supply of compressed air alternatively from top and bottom of piston in jackhammer is caused by the part?,Throtle valve,Stem,Chunk,Pawl and rachet,3
104,Mining Engineering,Open Cast Mining,4,IN sand stowing incorrect profile will effect..?,cavitaiton,wear on pipes,setup pulsation,jamming,0
105,Mining Engineering,Mine Machinery,4,The maximum output of the LHD with 3.5 cu.m per month is?,25000,35000,45000,15000,1
106,Mining Engineering,Open Cast Mining,4,The sp.gravity of the anthracite coal is?,1.2,1.5,2,2.5,1
107,Mining Engineering,Mine Legislation,4,The minimum R.F for the OCP mine planes is?,2000:1,1200:1,2400:1,1500:1,0
108,Mining Engineering,Mine Legislation,4,The diameter of the deflection pulley should not be less than atleast......times than the rope diameter?,60,100,40,120,0
109,Mining Engineering,Open Cast Mining,4,The roof is easily cavable if the protodyaknov index is........?,4-6,6-7,7-8,8-9,0
110,Mining Engineering,Mine Legislation,4,Every latrine shall be white washed once atleast in every ...?,3 months,6 months,4 months,12 months,2
111,Mining Engineering,Mine Machinery,4,Maximum head of the roto/mono pump is?,20 m,90 m,120 m,150 m,1
112,Mining Engineering,Mine Legislation,4,As per CMR the retirement age of a person employed in the mine is?,60 years,62 years,58 years,55 years,0
113,Mining Engineering,Mine Machinery,4,The mechanical efficiency of the pumps may vary from?,30 to 40 %,40 to 50 %,50 to 60 %,70 to 80 %,3
114,Mining Engineering,Mine Machinery,4,The operating length of the shuttle car is?,100 m,150 m,180 m,250 m,2
115,Mining Engineering,Mine Machinery,4,The exhaust gases from the engine amounting in all to about....cu.m per B.H.P per minute?,0.5,0.65,0.85,0.085,3
116,Mining Engineering,Open Cast Mining,4,Upto what gradient the Bord and pillar mining can be adopted withour special arrangements?,1 in 3,1 in 4,1 in 5,1 in 6,1
117,Mining Engineering,U/g Mines Ventilation,4,The coal is more prone to spantaneous heating if the moisture content is?,0-2 %,2 - 4 %,4 - 7 %,7 - 15 %,3
118,Mining Engineering,Open Cast Mining,4,The depth of hole is restricted to 50%-60% of the width of the drift in ..?,\fan cut,drag cut,burn cut,pyramid cut,3
119,Mining Engineering,U/g Mines Ventilation,4,The method of stoping suitable for steeply dipping reasonably firm ore mixed graded ore with irregular boundaries and where ground surface is to be protected from subsidence is?,Open stoping,Shrinkage stoping,Cut and fill stoping,Sublevel stoping,2
120,Mining Engineering,Mine Legislation,4,Quantity of the air shall be calculeted once in................in deg III mine?,7 days,14 days,30 days,60 days,1
121,Mining Engineering,Mine Legislation,4,Every detaching bell used in connection with a safety hook shall be examined once in every......?,30 days,3 months,6 months,12 months,0
122,Mining Engineering,Open Cast Mining,4,The surface erosion or non deposion occuring with in the sequence of rocks is?,Unconfermity,Joints,Inlier,Overlap,0
123,Mining Engineering,U/g Mines Ventilation,4,In manual method of raise driving the monthly progress is nearly?,10 m,15 m,25 m,40 m,0
124,Mining Engineering,Mine Legislation,4,The plans maintianed shall show surface contours lines drawn at vertical intervals not exceeding.......?,5 m,3 m,8 m,10 m,0
125,Mining Engineering,Mine Legislation,4,Every traveling roadway shall ;where the inclinatio exceeds........from the horizontal in addition to steps or ladders with hand rails or ropes shall be provided?,30 deg,45 deg,60 deg,80 deg,1
126,Mining Engineering,Mine Legislation,4,Man holes shall be not less than atleast ...........in height?,1.5 m,1.8 m,1.0 m,2.5m,1
127,Mining Engineering,Mine Legislation,4,In coal the height of the bench shall not exceed..........?,1.2m,1.5 m,2.5 m,3 m,3
128,Mining Engineering,Mine Legislation,4,In the workings having an inclination atleast .....or more from the horizontal ;adequate precausions shall be taken to prevent danger to persons from falling?,30 deg,45 deg,60 deg,20 deg,0
129,Mining Engineering,Mine Legislation,4,Every shaft in the course of being sunk shall be provided with a permanent lining of metal ;concrete which shall at no time be more than ...form the bottom of the shaft?,20 m,5 m,6 m,10 m,2
130,Mining Engineering,Mine Machinery,4,The output from the continuous miner is?,200 t/day,400 t/day,600 t/day,1000 t/day,2
131,Mining Engineering,Mine Legislation,4,The layoff compensation payable to any workman during any period of 12 months shall not be more than ......?,15 days,30 days,45 days,60 days,2
132,Mining Engineering,Open Cast Mining,4,The number of panels to be opened at a time is decided by ?,Capacity of the direct rope haulage,Output desired,Thickness of the seam,Incubation period,0
133,Mining Engineering,Mine Legislation,4,The maximum number of days for vocational training for working in gassy mines..?,6 days,12 days,18 days,20 days,2
134,Mining Engineering,Mine Legislation,4,When it is intended to reopen a mine or part thereof;which has been isolated;the manager shalll not less than........before commencement of such work give notice to R.I?,7 days,14 days,30 days,60 days,1
135,Mining Engineering,Mine Machinery,4,The vertical flexibility of Armoured chain conveyor is?,3 to 4 deg,2 to 3 deg,1 to 2 deg,4 to 5 deg,0
136,Mining Engineering,Mine Machinery,4,The jaws of the reliance capel are about ...times rope diameter in length?,30,24,12,15,1
137,Mining Engineering,U/g Mines Ventilation,4,Illumination is inversely proportional to ?,distance,square of distance,cube of distance,none,1
138,Mining Engineering,U/g Mines Ventilation,4,Methane can be found at?,roof,floor,Any place in the roadway,Exhaust gases of the locomotive,0
139,Mining Engineering,Mine Machinery,4,A number of concentrically twisted wire laid in the form of a helix round a central steel wire is known as?,Lang's lay,Ordinary lay,Strand,Locked coil,2
140,Mining Engineering,Open Cast Mining,4,Inclined slicing in decending order is applicable if the seam inclination is ?,less than 35 deg,more than 35 deg,less than 45 deg,none,0
141,Mining Engineering,U/g Mines Ventilation,4,The oxygen percentage in return air is?,20.28 %,78.04 %,20.93 %,25 %,0
142,Mining Engineering,Open Cast Mining,4,To avoid freezing of NG explosive which agent is mixed?,PETN,TNT,DI-NITRO-GLYCOL,ASA,2
143,Mining Engineering,U/g Mines Ventilation,4,In Gypsum stopings for every cu.m of stoping volume about ...te of gypsum is required?,1.3,1.8,2.5,3,0
144,Mining Engineering,Mine Legislation,4,If a mine already been opened the plans shall be submitted within ...to R.I?,30 days,60 days,90 days,1 year,0
145,Mining Engineering,U/g Mines Ventilation,4,The isolation stoping should be explosion proof if the minimum CH4 % behind the stoping is ...?,1 %,2 %,3 %,4 %,1
146,Mining Engineering,U/g Mines Ventilation,5,The best extinguisher for fires due to oil is?,CO2 type,Foam type,Water - CO2 type,Soda acid type,1
147,Mining Engineering,U/g Mines Ventilation,5,Which is formed in stangnent water in old workings in the areas of gob?,CH4,SO2,H2S,CO2,2
148,Mining Engineering,U/g Mines Ventilation,5,Overburden heaps should be atleast ....m away from the coal face of a quarry?,5 m,10 m,15 m,20 m,2
149,Mining Engineering,Mine Machinery,5,The loading capacity of gate end loaders is?,1 to 1.5 tph,2 to 4 tph,5 to 7 tph,7 to 9 tph,0
150,Mining Engineering,Mine Machinery,5,A monocable aerial ropeway is generally preffered?,In flat terrain,For large tonnage,In hilly terrains,For small distances,2
151,Mining Engineering,U/g Mines Ventilation,5,Air velocities in diesel locomotive sheds sholud not be less than?,4 m/s,2 m/s,1 m/s,0.75 m/s,3
152,Mining Engineering,Mine Legislation,5,No worker shall be absent from work without permission for more than minimum .....days?,10,5,15,20,0
153,Mining Engineering,Mine Legislation,5,Giving additional leave is...?,Financial incentive,Non financial incentive,Negative incentive,incriment,1
154,Mining Engineering,Mine Machinery,5,End thrust acts?,towards suction end of the pump,towards delievery end of the pipe,On the impellers of the pipe,none,0
155,Mining Engineering,Mine Machinery,5,Head per stage in roto pump is?,30 m,40 m,50 m,60 m,3
156,Mining Engineering,U/g Mines Ventilation,5,The light of oil lamps is extiguished when O2 % is falls to?,19 %,17.5 %,21 %,20 %,1
157,Mining Engineering,Open Cast Mining,5,The rocks are called acid if the silica % is ?,less than 45 %,45 - 55 %,55 - 65 %,More than 65 %,3
158,Mining Engineering,U/g Mines Ventilation,5,"152,Isolation stoping should have minimum depth of locking in shale is?",1 m,75 cm,15 cm,30 cm,3
159,Mining Engineering,Open Cast Mining,5,A timber prop is expected to support in area of about.....all round?,1 - 2 m,0.1 - 0.3 m,0.2 - 0.4 m,0.4 - 1 m,3
160,Mining Engineering,U/g Mines Ventilation,5,For light manual workers the wet kata is?,18,25,30,8,1
161,Mining Engineering,Mine Machinery,5,The ratio of pay load to gross load for skip winding is...and for cage winding is...?,0.6 ; 0.35,0.35 ; 0.6,0.8 ; 0.6,0.6 ; 0.8,0
162,Mining Engineering,U/g Mines Ventilation,5,Level interval is more in the case of?,Ore bodies thicker,Thin ore bodies,moderately thick ore bodies,Thick ore bodies,1
163,Mining Engineering,U/g Mines Ventilation,5,When the wet bulb temparature exceeds 33.5 deg then the rise in the body temparature is?,3 deg,2 deg,1 deg,0.5 deg,2
164,Mining Engineering,Open Cast Mining,5,The output of the shovel with 2 cu.m bucket is......cu.m per year?,2.5 lac,4 lac,5.5 lac,7 lac,0
165,Mining Engineering,Mine Legislation,5,Any combination whether temporary or permanant formed primarly for the purpose of regulating the relations btw workman and employers is called?,Trade union,workmen committee,Safety comittee,NOne,0
166,Mining Engineering,Open Cast Mining,5,The machine best suited for digging below the level on which it stands and loads the dumper is?,tractor shovel,stripper shovel,back hoe,dipper shovel,2
167,Mining Engineering,Mine Machinery,5,The process of heating the metal to normalising temparature and then allowing it to cool slowly and uniformly not in air is called?,Forging,Normalising,Annealing,Hardening,2
168,Mining Engineering,Mine Legislation,5,When a machine is required to work on gradient exceeding .....an effective contravance to prevent the machine running back shall be provided and used?,1 in 3,1 in 4,1 in 5,1 in 7,2
169,Mining Engineering,Mine Legislation,5,If the depth of the shaft is 1000 m then the maximim speed of the cage in man winding is....m/sec?,10,8,7,5.5,1
170,Mining Engineering,Mine Machinery,5,The maximum number of impellers on the pump shaft normally does not exceed?,4,6,8,10,3
171,Mining Engineering,Mine Machinery,5,The factor of safety for the friction winding is?,6.5 to 8,9,10,12,0
172,Mining Engineering,Open Cast Mining,5,The metamorphic form of basalt is?,amphibole,schist,marble,talc,0
173,Mining Engineering,Open Cast Mining,5,If the coal size is 25mm to 50 mm then it is called?,Steam coal,Rubble coal,Slack coal,none,1
174,Mining Engineering,Mine Legislation,5,The term of the office of the elected member of the canteen is .....years?,5,4,3,2,3
175,Mining Engineering,U/g Mines Ventilation,5,Raising by longhole drilling is limited to?,10 to 15m,15 to 50m,50 to 100m,100 to 120m,1
176,Mining Engineering,U/g Mines Ventilation,5,Explosive limit of the CH4 is?,4.3 % to 45 %,4.3 % to 75 %,5 % to 15 %,4.3 % to 12 %,2
177,Mining Engineering,Open Cast Mining,5,What excess % of diesel oil will lower the sensitivity?,6 %,7 %,8 %,9 %,2
178,Mining Engineering,Open Cast Mining,5,In freezing method os sinking the removal of ice wall after completion of siking by sending hot brine through holes is known as ..?,defreezing,silicatisation,postfreezing,thawing,3
179,Mining Engineering,Mine Machinery,5,The diameter of headgear pulley should be atleast.....times the dia of the rope?,60,100,120,150,1
180,Mining Engineering,Open Cast Mining,5,The discharge velocity of the sand in pneumatic sand stowing?,2 m/s,10 m/s,15 m/s,20 m/s,2
181,Mining Engineering,Open Cast Mining,5,Main fall occurs When the area of extraction is nearly equal or more than the .....of the depth?,twice,thrice,square,cube,2
182,Mining Engineering,U/g Mines Ventilation,5,The permissible limit for the nitrous fumes is?,10 ppm,50 ppm,7 ppm,5 ppm,3
183,Mining Engineering,Mine Legislation,5,Register of information regarding leave with wages is maintained in the form of?,FORM J,FORM K,FORM L,FORM M,2
184,Mining Engineering,U/g Mines Ventilation,5,Interferometers works on the principle of?,Formation of gas cap,Wheatstone bridge,Infraradiation,Optical properties,3
185,Mining Engineering,Open Cast Mining,5,The limiting gradient for longwall method is?,0 to 20 deg,10 to 30 deg,20 to 40 deg,30 to 40 deg,0
186,Mining Engineering,Mine Machinery,5,The rake angle of the drill rod in electric coal drill is?,3 deg,30 deg,65 deg,45 deg,0
187,Mining Engineering,Mine Legislation,5,In third degree at the maximum span of the longwall face ;the maximum velocity of the air is?,30 m/min,15 m/min,60 m/min,75 m/min,3
188,Mining Engineering,Mine Machinery,5,The ropes used for dragline are?,Locked coil,Regular lay,Lang's lay,Flattened strand,2
189,Mining Engineering,Mine Legislation,5,Where it is not possible to show the complete boundary of leasehold on the same plan;an additional 'KEY PLAN' having scale ....shall be shown?,2400 :1,5000 :1,25000 :1,50000:1,3
190,Mining Engineering,Mine Machinery,5,The levels in safety catches spaced at intervals varying from?,0.1 to 0.3 m,0.3 to 1m,1 to 1.3 m,1.3 to 2 m,1
191,Mining Engineering,Open Cast Mining,5,Maximum roof exposure for stowing is?,30 to 50 sq.m,60 to 90 sq.m,90 to 100 sq.m,100 to 120 sq.m,2
192,Mining Engineering,U/g Mines Ventilation,5,Samples from the sealed off area taken when the pressure behind is?,Negative,Positive,0,either positve or negative,0
193,Mining Engineering,Mine Legislation,5,Where any working is extended to within............of goaf or disused workings containing an accumulation of inflammable gas there shall be maintained atleast one borehole not less than 1.5 m deep in advance of the working?,50 m,70 m,30 m,60 m,2
