id,subject,topic,difficulty,question,option_a,option_b,option_c,option_d,correct
303,Mine Surveying & Geomatics,Bowditch rule traverse closing error,5,"A mine survey traverse consists of 5 stations with latitudes and departures measured with an EDM. The Bowditch rule traverse closing error is calculated to be 2.5 mm. If the traverse is to be adjusted for closure, what is the amount of correction to be applied to the EDM measurement of the closing line, assuming a leveling sensitivity of 1:100,000 and a closure error of 2.5 mm?",2.5 mm,2.5 mm + 0.025 mm,2.5 mm - 0.025 mm,0 mm,2
304,Mine Surveying & Geomatics,Bowditch rule traverse closing error,5,"A mine survey traverse consists of 5 lines. The closure error in the traverse is 3.5 mm. If the traverse is to be adjusted using the Bowditch rule, what is the value of the correction to be applied to the 4th line?",0.85 mm,1.25 mm,1.60 mm,2.10 mm,2
305,Mine Surveying & Geomatics,Bowditch rule traverse closing error,5,"A traverse has the following angles and distances: A (90°, 100m), B (120°, 80m), C (150°, 120m), D (180°, 90m). The EDM instrument has a systematic error of 0.05% and a random error of 2mm. The leveling instrument has a sensitivity of 1 mm/m. Calculate the traverse closing error using the Bowditch rule.",0.024 m,0.034 m,0.044 m,0.054 m,2
306,Mine Surveying & Geomatics,Bowditch rule traverse closing error,5,"A traverse consists of 10 lines with a total length of 1200 m. If the closing error using the Bowditch rule is 0.05 m, what is the average error in the traverse?",0.005 m,0.01 m,0.015 m,0.02 m,2
307,Mine Surveying & Geomatics,Bowditch rule traverse closing error,5,"A mine survey traverse has the following angles and distances: 

A = 60°, B = 90°, C = 120°, 

AB = 50 m, BC = 75 m, CA = 100 m. 

Using the Bowditch rule, calculate the closing error in the traverse.",0.23 m,0.35 m,0.49 m,0.67 m,2
308,Mine Surveying & Geomatics,Bowditch rule traverse closing error,5,"A traverse has the following angles: A = 72°45', B = 108°15', C = 45°30', and D = 90°. The closing error is computed using the Bowditch rule. If the calculated error is 2.5' and the EDM instrument has a sensitivity of 1.5 mm, what is the probable cause of the error?",Insufficient number of observations,Instrumental error due to EDM sensitivity,Traverse closure error due to angle measurement,Compass error during traverse,1
309,Mine Surveying & Geomatics,Bowditch rule traverse closing error,5,"A traverse has the following angles and distances: 

A - 60°, 100m
B - 90°, 120m
C - 120°, 80m
D - 150°, 180m

The traverse is closed using Bowditch's rule. If the calculated closing error is 0.3m, what is the sensitivity of the leveling instrument used in the traverse?",0.1 x 10^-3 mV/m,0.3 x 10^-3 mV/m,1.0 x 10^-3 mV/m,3.0 x 10^-3 mV/m,2
310,Mine Ventilation & Environment,Atkinson's friction law,5,"A ventilation system in a coal mine has a total resistance of 1.5 Ns²/m⁸. If the fan is operating at a flow rate of 0.5 m³/s, and the static pressure is 20 kPa, what is the power required to operate the fan, assuming a fan efficiency of 80%?",15 kW,20 kW,25 kW,30 kW,2
311,Mine Ventilation & Environment,Atkinson's friction law,5,"A mine air fan has a characteristic curve with a pressure head (ΔP) of 25 kPa at a flow rate (Q) of 2.5 m³/s. If the fan operates under the same conditions but with a pressure head of 30 kPa, what is the corresponding change in flow rate (Q')?",0.5 m³/s,1.25 m³/s,2.0 m³/s,3.75 m³/s,2
312,Mine Ventilation & Environment,Atkinson's friction law,5,"Air flows through a 100 m long, 0.5 m diameter mine airway at a flow rate of 2.5 m³/s. The airway is rough, with a roughness height of 0.01 m. The air density is 1.2 kg/m³. The friction factor can be estimated using Atkinson's friction law. What is the pressure drop (in kPa) along the airway?",0.45 kPa,1.35 kPa,2.25 kPa,3.15 kPa,2
313,Mine Ventilation & Environment,Atkinson's friction law,5,"A ventilation system in a mine has a total equivalent length of 1200 m and a diameter of 2.5 m. If the air flow rate is 0.5 m³/s and the pressure drop is 1.2 kPa, determine the fan power required using Atkinson's friction law, where f = 0.02 Ns²/m⁸. What is the power in kW?",0.45 kW,0.55 kW,0.65 kW,0.75 kW,2
314,Mine Ventilation & Environment,Atkinson's friction law,5,"A ventilation system in a coal mine is using a fan with a characteristic curve given by Q = 0.5 ∗ P^1.2. If the fan is operating at a pressure of 50 kPa, what is the volumetric flow rate (m^3/s) of air being transported through the system?",0.5 m^3/s,1.0 m^3/s,2.5 m^3/s,4.0 m^3/s,2
315,Mine Ventilation & Environment,Atkinson's friction law,5,"A mine ventilation fan is operating at a flow rate of 10 m³/s. The fan's characteristic curve indicates a head loss of 50 kPa when the fan is delivering 10 m³/s. If the fan's power consumption is 150 kW, and the mine air is at 25°C and 101.3 kPa, what is the fan's efficiency, expressed as a percentage?",55%,60%,65%,70%,2
316,Mine Ventilation & Environment,Atkinson's friction law,5,"A mine ventilation fan is installed to handle a volume flow rate of 0.5 m³/s. The pressure drop across the fan is measured to be 1.2 kPa. According to Atkinson's friction law, the power required to drive the fan can be calculated using the formula: P = 0.0018 × Q^2 × ΔP, where P is in kW, Q is in m³/s, and ΔP is in kPa. What is the power required to drive the fan, assuming an efficiency of 80%?",0.9 kW,1.2 kW,1.5 kW,1.8 kW,2
317,Mine Ventilation & Environment,Atkinson's friction law,5,"A ventilation system in a coal mine has a fan with a characteristic curve given by Q = 0.5 * √(P) where Q is the airflow rate in m³/s and P is the pressure in kPa. The system also has a pipe with a length of 1000 m and an internal diameter of 1.5 m. The air density is 1.2 kg/m³. Using Atkinson's friction law, what is the minimum pressure required to maintain an airflow rate of 10 m³/s through the pipe?",15.5 kPa,31.0 kPa,46.5 kPa,62.0 kPa,2
318,Mining Machinery & Materials Handling,Koepe winder slip criteria,5,"A Koepe winder is used for hoisting ore from a depth of 500 m. The wire rope has a diameter of 80 mm and a mass per unit length of 0.02 kg/m. If the maximum permissible slip is 10% and the static factor of safety is 5, what is the maximum tension in the wire rope?",10 kN,20 kN,30 kN,40 kN,2
319,Mining Machinery & Materials Handling,Koepe winder slip criteria,5,"A Koepe winder is used to lift 200 t of ore per minute at a speed of 1.2 m/s. If the maximum allowable slip is 10%, calculate the minimum required static factor of safety for the wire rope.",1.25,1.5,1.8,2.2,2
320,Mining Machinery & Materials Handling,Koepe winder slip criteria,5,"A Koepe winder is used to lift a load of 500 kN at a speed of 2.5 m/s. The wire rope has a diameter of 50 mm and a breaking load of 1200 kN. If the static factor of safety is 4, what is the maximum allowed slip (in %) of the wire rope?",1.2%,1.5%,1.8%,2.1%,2
321,Mining Machinery & Materials Handling,Koepe winder slip criteria,5,"A Koepe winder is used for hoisting ore from a mine. The wire rope has a diameter of 100 mm and is subjected to a tension of 500 kN. The maximum allowable slip between the wire rope and the drum is 10%. If the static factor of safety (Fs) for the wire rope is 4, determine the minimum required breaking load (Tb) of the wire rope.",Tb = 2.5 × 500 kN,Tb = 3.125 × 500 kN,Tb = 4.0 × 500 kN,Tb = 5.0 × 500 kN,1
322,Mining Machinery & Materials Handling,Koepe winder slip criteria,5,"A Koepe winder is used to lift 1000 t/h of ore at a speed of 2.5 m/s. The diameter of the wire rope is 80 mm and the angle of wrap is 6. If the ultimate tensile strength of the wire rope is 1600 MPa, what is the minimum value of the static factor of safety (n) to prevent slip?",2.3,2.5,2.8,3.1,2
323,Mining Machinery & Materials Handling,Koepe winder slip criteria,5,"A Koepe winder is used to hoist a 1000 m long rope with a mass per unit length of 0.5 kg/m. The rope is subjected to a static load of 50 kN. Assuming a dynamic load factor of 1.2, calculate the maximum permissible slip velocity (m/s) for the rope, considering a static factor of safety of 3.",0.05 m/s,0.15 m/s,0.25 m/s,0.35 m/s,1
324,Surface & Underground Mining Methods,Bord and Pillar depillaring,5,"A bord and pillar mine with a working height of 4.5 m and a pillar size of 6 m x 6 m is being depillared. The average density of the coal is 1.4 t/m³. If the mine is operated at a production rate of 1000 t/h, what is the stripping ratio (waste/ore) if the powder factor for blasting is 0.25 kg/m³ and the average resistance of the powered support is 2.5 MPa?",0.85,0.95,1.05,1.15,2
325,Surface & Underground Mining Methods,Bord and Pillar depillaring,5,"A bord and pillar mine has a coal seam thickness of 3.5 m and a pillar width of 4.2 m. The average coal density is 1.35 t/m³. If the mine is to be extracted at a rate of 2.1 m³/s, what is the maximum allowable pillar strength (in MPa) to prevent subsidence?",1.8,2.1,3.2,4.5,2
326,Surface & Underground Mining Methods,Bord and Pillar depillaring,5,"A bord and pillar mine has a pillar size of 6 m x 6 m x 8 m. If the average density of the coal is 1.5 t/m³ and the mining height is 4 m, calculate the weight of coal to be extracted per pillar.",2700 kg,3600 kg,4500 kg,5400 kg,2
327,Surface & Underground Mining Methods,Bord and Pillar depillaring,5,"A bord and pillar mine has a pillar size of 6.5 m x 6.5 m x 10 m. The average density of the coal is 1.35 t/m³. If the pillar is to be extracted by room and pillar method, the volume of the pillar to be extracted is approximately how many cubic meters?",65 m³,130 m³,260 m³,520 m³,2
328,Surface & Underground Mining Methods,Bord and Pillar depillaring,5,"A bord and pillar mine with a pillar size of 6 m x 6 m x 6 m is being depillared. The average strength of the pillars is 1.5 MPa. If the mine is to be extracted at a rate of 1000 m³/s, what is the required blast powder factor for a 10% overbreak? The density of the rock is 2.7 g/cm³.",0.45 kg/m³,0.55 kg/m³,0.65 kg/m³,0.75 kg/m³,2
329,Surface & Underground Mining Methods,Bord and Pillar depillaring,5,"A bord and pillar mine has a pillar size of 5.5 m x 5.5 m. The mining height is 3.5 m. The uniaxial compressive strength of the rock is 120 MPa. If the pillar is to be extracted in a rectangular shape, what is the minimum pillar extraction ratio?",0.25,0.30,0.35,0.40,2
330,Surface & Underground Mining Methods,Bord and Pillar depillaring,5,"A bord and pillar mine has a working height of 3.5 m and a pillar width of 4.2 m. The average density of the coal is 1.4 t/m³. If the mine is to be extracted at a rate of 0.15 m³/s, what is the required pillar extraction rate in m³/s to maintain a stripping ratio of 2.5?",0.03 m³/s,0.045 m³/s,0.06 m³/s,0.09 m³/s,2
331,Surface & Underground Mining Methods,Longwall powered support resistance,5,"A longwall face is equipped with powered support system. The resistance offered by the coal is 100 kN/m. If the face advance is 50 m/day, the total resistance offered by the coal for a 500 m long face is _______.",2500 kN,5000 kN,7500 kN,10000 kN,2
332,Surface & Underground Mining Methods,Bord and Pillar depillaring,5,"A bord and pillar coal mine has a pillar size of 3.5 m x 3.5 m with a spacing of 6 m. The coal seam is 2.5 m thick. The average density of coal is 1.4 t/m³. If the mine extracts 5000 t of coal per day, what is the required pillar strength (in MPa) to prevent collapse?",0.75,1.25,1.75,2.25,2
333,Surface & Underground Mining Methods,Bord and Pillar depillaring,5,"A bord and pillar mine with a pillar size of 4.5 m x 4.5 m and a height of 3 m is being depillared. The average density of the coal is 1.4 t/m³. If the pillar is to be extracted using a longwall shearers with a cutting height of 1.2 m, what is the minimum number of shearer passes required to extract the pillar, given that the shearer has a cutting capacity of 25 m³/s?",10,12,15,18,1
334,Engineering Mathematics,Matrix eigenvalues,6,"The matrix A = 
egin{bmatrix} 2 & 1 \ 3 & 2 \
inish{bmatrix} has eigenvalues λ1 and λ2. If the matrix A is raised to the power of 2, the value of λ1λ2 is approximately equal to?",4.0 MPa,4.5 MPa,5.0 MPa,5.5 MPa,2
335,Engineering Mathematics,Matrix eigenvalues,6,"A square matrix A has eigenvalues λ1 = 2, λ2 = 3. If A = [4 2; 2 3], what is the value of the determinant of (A - λI) using the Cayley-Hamilton theorem?",det(A - λI) = 0,det(A - λI) = 14,det(A - λI) = -14,det(A - λI) = 21,3
336,General Aptitude & Reasoning,Logical deduction,6,"A water tank has two pipes, A and B. Pipe A can fill the tank in 6 hours, while pipe B can fill the tank in 4 hours. If both pipes operate simultaneously, how long will it take to fill the tank? The tank's capacity is 2400 m³.",3 hours,4 hours,5 hours,6 hours,0
337,General Aptitude & Reasoning,Logical deduction,6,"A pump can empty a tank in 6 hours. Another pump, which is 50% more efficient, can empty the same tank in how many hours?",4 hours,3 hours,5 hours,6 hours,1
338,General Aptitude & Reasoning,Logical deduction,6,"A water tank is being filled at a rate of 0.5 m³/s. If the tank has a capacity of 100 m³, how many hours will it take to fill the tank completely?",2.4 hours,2.5 hours,2.8 hours,3.0 hours,2
339,General Aptitude & Reasoning,Logical deduction,6,"A pipe of diameter 0.5 m and length 10 m is connected to a water pump. If the water pump delivers 0.02 m³/s of water at a pressure of 200 kPa, what is the flow velocity (in m/s) of the water in the pipe?",0.1 m/s,0.5 m/s,1.0 m/s,2.0 m/s,2
340,General Aptitude & Reasoning,Logical deduction,6,"A water pump can fill a tank in 3 hours. Due to a leak at the bottom, it takes 8 hours to fill the tank. If the pump is operated for 6 hours, what is the fraction of the tank filled, assuming the leak is not plugged?",1/4,1/3,3/8,1/2,2
341,General Aptitude & Reasoning,Logical deduction,6,"A conveyor belt is moving at a speed of 5 m/s. A box is placed on the belt and is being transported from one end of the belt to the other. If the length of the belt is 100 m and the box is being transported for 20 minutes, what is the distance traveled by the box?",10 m,50 m,100 m,500 m,2
342,General Aptitude & Reasoning,Logical deduction,6,"A mine has two tunnels, A and B, that connect the mine to the surface. Tunnel A is 500 m long and has a cross-sectional area of 2.5 m². Tunnel B is 300 m long and has a cross-sectional area of 1.2 m². If the flow rate of air through Tunnel A is 5 m³/s and the flow rate through Tunnel B is 3 m³/s, what is the ratio of the pressure difference between the two ends of Tunnel A and the two ends of Tunnel B?",1:1,2:3,4:5,5:6,2
343,General Aptitude & Reasoning,Logical deduction,6,"A pipe of length 100 m and diameter 0.5 m is laid on a slope of 1 in 10. If water flows through it at a rate of 0.05 m³/s, what is the pressure head at the exit end?",10 kPa,20 kPa,30 kPa,40 kPa,2
344,General Aptitude & Reasoning,Logical deduction,6,"A conveyor belt transports sand at a rate of 200 m³/s. If the sand is to be stored in a rectangular silo with a base area of 15 m² and a height of 10 m, what is the time taken to fill the silo, in seconds?",150 s,200 s,250 s,300 s,1
345,General Aptitude & Reasoning,Logical deduction,6,"A water tank is being filled at the rate of 0.5 m³/s. If the tank can hold 150 m³ of water, how many hours will it take to fill the tank completely?",2 hours,4 hours,6 hours,8 hours,1
346,General Aptitude & Reasoning,Logical deduction,6,"A water pump, working at 75% of its capacity, can empty a tank in 60 minutes. When working at full capacity, how long will it take to empty the same tank?",40 minutes,45 minutes,50 minutes,60 minutes,2
347,General Aptitude & Reasoning,Logical deduction,6,"A water tank is in the shape of a cone with a height of 10 m and base radius of 4 m. If the water is being pumped out at a rate of 0.2 m³/s, how many hours will it take to empty the tank, which is 75% full?",4.17 hours,4.25 hours,4.33 hours,4.50 hours,2
348,General Aptitude & Reasoning,Logical deduction,6,"A water pump, working at 75% of its capacity, can fill a tank in 8 hours. When working at full capacity, how many hours will it take to fill the same tank?",4 hours,6 hours,8 hours,10 hours,1
349,General Aptitude & Reasoning,Logical deduction,6,"A water pump can empty a tank in 6 hours. Another pump, which is 50% more efficient, can empty the same tank in how many hours?",4 hours,3 hours,5 hours,6 hours,1
350,General Aptitude & Reasoning,Logical deduction,6,A pipe of diameter 0.5 m and length 10 m is filled with water at a flow rate of 0.02 m³/s. What is the time taken (in seconds) for the water to flow through the pipe?,10 seconds,20 seconds,30 seconds,40 seconds,2
351,Geomechanics & Ground Control,Mohr-Coulomb failure,6,"A rock mass has a uniaxial compressive strength of 20 MPa. If the rock mass is subjected to a major principal stress of 10 MPa and a minor principal stress of 5 MPa, determine the cohesion (c) of the rock mass using the Mohr-Coulomb failure criterion, given that the angle of internal friction (φ) is 30°.",2.0 kN/m²,4.0 kN/m²,6.0 kN/m²,8.0 kN/m²,2
352,Geomechanics & Ground Control,Mohr-Coulomb failure,6,"A rock mass with a uniaxial compressive strength of 250 MPa and a tensile strength of 10 MPa is subjected to a major principal stress of 150 MPa. Determine the minor principal stress required for the Mohr-Coulomb failure criterion to be satisfied, given that the angle of internal friction is 30° and the cohesion is 20 MPa.",120 MPa,130 MPa,140 MPa,150 MPa,2
353,Geomechanics & Ground Control,Mohr-Coulomb failure,6,"A rock mass with a uniaxial compressive strength of 50 MPa and a tensile strength of 2 MPa is subjected to a major principal stress of 30 MPa. Determine the minor principal stress required to cause failure, considering a cohesion of 10 MPa and an internal friction angle of 30°.",20 MPa,25 MPa,28 MPa,32 MPa,2
354,Geomechanics & Ground Control,Mohr-Coulomb failure,6,"A rock mass with a uniaxial compressive strength of 150 MPa is subjected to a major principal stress of 80 MPa and a minor principal stress of 30 MPa. Using the Mohr-Coulomb failure criterion, calculate the angle of internal friction (in degrees) for the rock mass. Assume a cohesion value of 5 MPa.",24.74°,30.98°,35.26°,40.51°,2
355,Geomechanics & Ground Control,Mohr-Coulomb failure,6,"A rock mass with a uniaxial compressive strength (UCS) of 35 MPa and a tensile strength of 2.5 MPa is subjected to a major principal stress of 20 MPa. Determine the minor principal stress required to induce a failure in the rock mass using the Mohr-Coulomb failure criterion, where the angle of internal friction is 30° and the cohesion is 2.5 MPa.",10 MPa,12 MPa,15 MPa,20 MPa,2
356,Geomechanics & Ground Control,Mohr-Coulomb failure,6,"A rock mass has a uniaxial compressive strength (UCS) of 30 MPa. The major and minor principal stresses are 20 MPa and 10 MPa, respectively. Determine the factor of safety (FoS) against Mohr-Coulomb failure, given the cohesion (c) as 1.5 MPa and the angle of internal friction (φ) as 30°.",FoS = 2.5,FoS = 3.0,FoS = 3.5,FoS = 4.0,2
357,Geomechanics & Ground Control,Mohr-Coulomb failure,6,A rock mass has a uniaxial compressive strength (UCS) of 120 MPa. The angle of internal friction (φ) is 30° and the cohesion (c) is 5 MPa. Determine the major principal stress (σ1) at failure using the Mohr-Coulomb failure criterion.,80 MPa,90 MPa,100 MPa,110 MPa,2
358,Geomechanics & Ground Control,Mohr-Coulomb failure,6,A coal mine has a rock mass with a uniaxial compressive strength of 50 MPa. The rock mass is classified as RMR 55. Calculate the rock mass strength factor (σc') using the Bieniawski RMR system.,20 MPa,25 MPa,30 MPa,35 MPa,2
359,Geomechanics & Ground Control,Mohr-Coulomb failure,6,"A rock mass has a uniaxial compressive strength (UCS) of 30 MPa. Determine the minor principal stress (σ₃) at failure, if the major principal stress (σ₁) is 20 MPa and the angle of internal friction (φ) is 30°. Assume a cohesion (c) of 2 MPa.",10 MPa,12 MPa,15 MPa,18 MPa,2
360,"Mine Planning, Geostatistics & Economics",Net Present Value,6,"A mining project has an initial investment of ₹ 12,00,000 and an expected annual revenue of ₹ 15,00,000. The project is expected to last for 10 years. If the cost of capital is 12% per annum, calculate the Net Present Value (NPV) of the project.","₹ 1,20,00,000","₹ 1,50,00,000","₹ 1,80,00,000","₹ 2,00,00,000",2
361,"Mine Planning, Geostatistics & Economics",Net Present Value,6,"A mining company is planning to invest in a new coal mine. The initial investment required is ₹ 1.5 crores. The annual operating cost is ₹ 2.5 crores and the annual revenue generated is ₹ 4.5 crores. The mine is expected to operate for 10 years. If the cost of capital is 12% per annum, calculate the Net Present Value (NPV) of the mine.",₹ 1.25 crores,₹ 2.25 crores,₹ 3.25 crores,₹ 4.25 crores,2
362,"Mine Planning, Geostatistics & Economics",Net Present Value,6,"A mining project has an initial investment of ₹ 50 crores and a life of 5 years. The annual operating cost is ₹ 10 crores and the annual revenue is ₹ 20 crores. The project also requires an additional investment of ₹ 5 crores after 3 years. Calculate the Net Present Value (NPV) of the project, assuming a discount rate of 12% per annum.",₹ 12.50 crores,₹ 15.31 crores,₹ 18.21 crores,₹ 21.12 crores,1
363,"Mine Planning, Geostatistics & Economics",Net Present Value,6,"A mining project requires an initial investment of ₹ 10 crores. The expected annual revenue from the project is ₹ 2.5 crores. The project is expected to last for 10 years. If the cost of capital is 12% per annum, calculate the Net Present Value (NPV) of the project.",₹ 1.50 crores,₹ 2.25 crores,₹ 3.00 crores,₹ 4.50 crores,2
364,"Mine Planning, Geostatistics & Economics",Net Present Value,6,"A mining project has an initial investment of ₹ 10,00,000 and an estimated annual production of 5,00,000 tonnes of coal. The revenue generated per tonne of coal is ₹ 150. The project is expected to operate for 10 years. If the discount rate is 12% per annum, calculate the Net Present Value (NPV) of the project.","₹ 2,51,19,111","₹ 2,51,19,211","₹ 2,51,19,311","₹ 2,51,19,411",0
365,"Mine Planning, Geostatistics & Economics",Net Present Value,6,"A mining project requires an initial investment of ₹ 1.5 crores and is expected to generate an annual revenue of ₹ 1.2 crores for the next 5 years. The cost of extraction is ₹ 0.8 crores per year. If the discount rate is 12% per annum, calculate the Net Present Value (NPV) of the project.",₹ 2.34 crores,₹ 2.45 crores,₹ 2.56 crores,₹ 2.67 crores,2
366,"Mine Planning, Geostatistics & Economics",Net Present Value,6,A mining company is planning to invest in a new project with an initial capital outlay of ₹ 10 crores. The project is expected to generate a cash inflow of ₹ 2.5 crores per annum for the next 8 years. The company uses a discount rate of 12% per annum. Calculate the Net Present Value (NPV) of the project.,₹ 1.23 crores,₹ 1.53 crores,₹ 1.83 crores,₹ 2.13 crores,2
367,"Mine Planning, Geostatistics & Economics",Net Present Value,6,"A mining project has an initial investment of ₹ 1.5 crores. The project is expected to generate a revenue of ₹ 2.5 crores in the first year, ₹ 2.2 crores in the second year, and ₹ 2.1 crores in the third year. The project has a life of 3 years. The discount rate is 12% per annum. Calculate the Net Present Value (NPV) of the project.",₹ 0.75 crores,₹ 1.05 crores,₹ 1.25 crores,₹ 1.35 crores,2
368,Mine Surveying & Geomatics,Bowditch rule traverse closing error,6,"A mine survey traverse consists of 8 stations. The closing error is calculated using Bowditch's rule and is found to be 1.2 m. If the length of the traverse is 1500 m, calculate the sensitivity of the traverse.",0.0008 m/km,0.0009 m/km,0.0012 m/km,0.0015 m/km,2
369,Mine Surveying & Geomatics,Bowditch rule traverse closing error,6,"A traverse is measured using EDM and the following data is obtained: AB = 100.00 m, BC = 120.00 m, CD = 150.00 m, DA = 180.00 m. The closing error in the traverse is 0.05 m. If the EDM instrument has an error of 1.5 ppm, calculate the correction to be applied to the measured length AB.",0.0012 m,0.0024 m,0.0036 m,0.0048 m,2
370,Mine Surveying & Geomatics,Bowditch rule traverse closing error,6,"A mine survey traverse consists of 5 sides. The closing error in the traverse is calculated using Bowditch's rule. If the closing error is 1.25 m and the traverse length is 1000 m, calculate the sensitivity of the traverse to the EDM measurement error.",0.00125 Ns²/m⁸,0.00125 kN,0.00125 m³/s,0.00125 m,0
371,Mine Surveying & Geomatics,Bowditch rule traverse closing error,6,"A traverse is closed using the Bowditch rule. The closing error is found to be 1.2 m. If the traverse is to be adjusted, the correction in the EDM distance is to be applied. Given that the EDM distance is 500 m, the correction in the EDM distance (in mm) is:",0.24 mm,0.6 mm,6 mm,12 mm,2
372,Mine Ventilation & Environment,Atkinson's friction law,6,"A ventilator fan is installed in a mine tunnel with a diameter of 4.5 m and a length of 1200 m. The air flow rate is 0.8 m³/s. The velocity pressure is 0.15 kPa. Using Atkinson's friction law, calculate the fan's power requirement (in kW).",5.2 kW,6.8 kW,8.1 kW,9.5 kW,2
373,Mine Ventilation & Environment,Atkinson's friction law,6,"A mine ventilation system has a total length of 1000 m of 0.5 m diameter steel pipe. The air flow rate is 2.5 m³/s. The pressure drop due to friction is given by Atkinson's law as ΔP = (f × L × ρ × v²) / (2 × D). If the friction factor f is 0.02, the air density ρ is 1.2 kg/m³, and the velocity v is 10 m/s, calculate the pressure drop ΔP.",0.15 kPa,1.2 kPa,12 kPa,120 kPa,2
374,Mine Ventilation & Environment,Atkinson's friction law,6,"A ventilation duct of 0.5 m diameter and 100 m length is to be driven by a fan. The air flow rate is 0.2 m³/s. Assuming a friction factor of 0.02, calculate the total pressure drop using Atkinson's friction law.",0.8 kPa,1.2 kPa,1.6 kPa,2.0 kPa,2
375,Mine Ventilation & Environment,Atkinson's friction law,6,"Air flows through a 100 m long, 1 m diameter mine airway with a velocity of 10 m/s. The airway is rough and has a surface roughness of 0.02 m. The air density is 1.2 kg/m³. If the air pressure at the entrance is 100 kPa, determine the pressure drop (in kPa) using Atkinson's friction law.",0.12 kPa,0.24 kPa,0.36 kPa,0.48 kPa,2
376,Mine Ventilation & Environment,Atkinson's friction law,6,"A ventilation system in a coal mine has a total pressure drop of 12.5 kPa over a 100 m long duct. If the air flow rate is 2.5 m³/s, and the Atkinson's friction factor is 0.25, calculate the power required to overcome the pressure drop.",2.5 kW,3.125 kW,4.0 kW,5.0 kW,1
377,Mine Ventilation & Environment,Atkinson's friction law,6,"A mine ventilation fan is installed in a 100 m long, 1.5 m diameter mine tunnel. The air flow rate through the fan is 2.5 m³/s and the static pressure rise across the fan is 10 kPa. Using Atkinson's friction law, determine the fan's power consumption in kW, given that the air's density is 1.2 kg/m³ and the friction factor is 0.02.",5.2 kW,6.1 kW,7.5 kW,8.2 kW,2
378,Mine Ventilation & Environment,Atkinson's friction law,6,"A ventilation system in a coal mine has a fan with a power input of 250 kW. If the fan's efficiency is 80% and the air flow rate is 10 m³/s, what is the pressure rise across the fan, assuming a friction loss of 20 kPa in the duct? Use Atkinson's friction law to solve the question.",25.6 kPa,30.4 kPa,35.2 kPa,40.8 kPa,2
379,Mine Ventilation & Environment,Atkinson's friction law,6,"Air flows through a 1.2 km long mine haulage road with a diameter of 3.5 m at a velocity of 15 m/s. The air pressure at the intake is 100 kPa and at the return is 80 kPa. The friction factor (f) is 0.02. Using Atkinson's friction law, determine the fan power required to overcome the pressure losses in the road.",15.36 kW,16.27 kW,17.19 kW,18.13 kW,2
380,Mine Ventilation & Environment,Atkinson's friction law,6,"A mine ventilation fan with a power rating of 250 kW is connected to a 100 m long duct with a diameter of 1.2 m. Assuming a velocity of 15 m/s, calculate the pressure drop using Atkinson's friction law. Take the value of the friction factor (f) as 0.02. Express your answer in kPa.",0.35 kPa,0.45 kPa,0.55 kPa,0.65 kPa,2
381,Mine Ventilation & Environment,Atkinson's friction law,6,"A ventilation system in a coal mine has a total length of 500 m of 0.5 m diameter pipe. The air flow rate is 0.05 m³/s. If the velocity head is 0.2 m, the pressure drop due to friction using Atkinson's friction law is:",0.15 kPa,0.25 kPa,0.35 kPa,0.45 kPa,2
382,Mining Machinery & Materials Handling,Koepe winder slip criteria,6,"A Koepe winder is designed to lift 1000 t/h of ore with a 50 mm diameter wire rope. If the maximum allowable slip is 2%, calculate the minimum required static factor of safety (SF) for the wire rope. The specific gravity of the ore is 3.5 and the acceleration due to gravity (g) is 9.81 m/s².",1.5,1.8,2.1,2.5,2
383,Mining Machinery & Materials Handling,Shovel-Dumper Match Index,6,"A 1000 t/h shovel is to be matched with a 1200 t/h dumper. If the dumper's speed is 10 km/h and the shovel's speed is 15 km/h, the shovel-dumper match index (SDMI) is",1.25,1.5,1.75,2.0,2
384,Mining Machinery & Materials Handling,Koepe winder slip criteria,6,"A Koepe winder is operating at a speed of 8.5 m/s. The wire rope has a diameter of 50 mm and a breaking load of 200 kN. The static factor of safety (SF) is 5. The slip velocity (v_s) is given by the formula: v_s = v * (1 - e^(-SF * (T/T_b))). If the tension (T) in the wire rope is 120 kN and the breaking tension (T_b) is 40 kN, calculate the slip velocity (v_s) in m/s.",0.4 m/s,1.2 m/s,2.5 m/s,4.8 m/s,2
385,Mining Machinery & Materials Handling,Koepe winder slip criteria,6,"A Koepe winder is used to hoist a 100 m long rope with a diameter of 60 mm. The rope is subjected to a tension of 100 kN at the top and 50 kN at the bottom. Determine the slip velocity (in m/s) at which the rope will start to slip, given that the coefficient of friction between the rope and the drum is 0.2 and the rope's static factor of safety is 5.",0.05 m/s,0.10 m/s,0.15 m/s,0.20 m/s,2
386,Mining Machinery & Materials Handling,Koepe winder slip criteria,6,"A Koepe winder has a drum diameter of 1.5 m and a rope diameter of 0.05 m. The maximum allowed slip is 15%. If the actual slip is 12%, calculate the static factor of safety of the wire rope.",1.2,1.5,1.8,2.1,2
387,Mining Machinery & Materials Handling,Koepe winder slip criteria,6,"A Koepe winder is used to lift 2000 t/h of ore at a speed of 2.5 m/s. If the wire rope has a diameter of 80 mm and a breaking load of 120 kN, determine the maximum allowable slip. The static factor of safety for the wire rope is 4.5.",0.035 m,0.042 m,0.050 m,0.060 m,2
